zona,frame,tiempo_segundos,personas_detectadas
check-in,0,0.0,12
check-in,1,0.041666666666666664,10
check-in,2,0.08333333333333333,9
check-in,3,0.125,10
check-in,4,0.16666666666666666,9
check-in,5,0.20833333333333334,10
check-in,6,0.25,9
check-in,7,0.2916666666666667,8
check-in,8,0.3333333333333333,7
check-in,9,0.375,11
check-in,10,0.4166666666666667,10
check-in,11,0.4583333333333333,9
check-in,12,0.5,9
check-in,13,0.5416666666666666,9
check-in,14,0.5833333333333334,10
check-in,15,0.625,11
check-in,16,0.6666666666666666,11
check-in,17,0.7083333333333334,10
check-in,18,0.75,10
check-in,19,0.7916666666666666,12
check-in,20,0.8333333333333334,12
check-in,21,0.875,14
check-in,22,0.9166666666666666,15
check-in,23,0.9583333333333334,15
check-in,24,1.0,18
check-in,25,1.0416666666666667,17
check-in,26,1.0833333333333333,18
check-in,27,1.125,19
check-in,28,1.1666666666666667,19
check-in,29,1.2083333333333333,18
check-in,30,1.25,17
check-in,31,1.2916666666666667,19
check-in,32,1.3333333333333333,18
check-in,33,1.375,16
check-in,34,1.4166666666666667,16
check-in,35,1.4583333333333333,17
check-in,36,1.5,15
check-in,37,1.5416666666666667,14
check-in,38,1.5833333333333333,15
check-in,39,1.625,14
check-in,40,1.6666666666666667,15
check-in,41,1.7083333333333333,13
check-in,42,1.75,13
check-in,43,1.7916666666666667,14
check-in,44,1.8333333333333333,14
check-in,45,1.875,15
check-in,46,1.9166666666666667,14
check-in,47,1.9583333333333333,12
check-in,48,2.0,12
check-in,49,2.0416666666666665,11
check-in,50,2.0833333333333335,12
check-in,51,2.125,11
check-in,52,2.1666666666666665,11
check-in,53,2.2083333333333335,12
check-in,54,2.25,12
check-in,55,2.2916666666666665,12
check-in,56,2.3333333333333335,12
check-in,57,2.375,13
check-in,58,2.4166666666666665,13
check-in,59,2.4583333333333335,13
check-in,60,2.5,15
check-in,61,2.5416666666666665,13
check-in,62,2.5833333333333335,14
check-in,63,2.625,12
check-in,64,2.6666666666666665,15
check-in,65,2.7083333333333335,14
check-in,66,2.75,14
check-in,67,2.7916666666666665,15
check-in,68,2.8333333333333335,12
check-in,69,2.875,13
check-in,70,2.9166666666666665,15
check-in,71,2.9583333333333335,14
check-in,72,3.0,14
check-in,73,3.0416666666666665,15
check-in,74,3.0833333333333335,17
check-in,75,3.125,18
check-in,76,3.1666666666666665,17
check-in,77,3.2083333333333335,14
check-in,78,3.25,15
check-in,79,3.2916666666666665,15
check-in,80,3.3333333333333335,14
check-in,81,3.375,15
check-in,82,3.4166666666666665,14
check-in,83,3.4583333333333335,15
check-in,84,3.5,15
check-in,85,3.5416666666666665,14
check-in,86,3.5833333333333335,17
check-in,87,3.625,15
check-in,88,3.6666666666666665,17
check-in,89,3.7083333333333335,17
check-in,90,3.75,17
check-in,91,3.7916666666666665,15
check-in,92,3.8333333333333335,14
check-in,93,3.875,12
check-in,94,3.9166666666666665,13
check-in,95,3.9583333333333335,14
check-in,96,4.0,14
check-in,97,4.041666666666667,17
check-in,98,4.083333333333333,16
check-in,99,4.125,15
check-in,100,4.166666666666667,16
check-in,101,4.208333333333333,18
check-in,102,4.25,16
check-in,103,4.291666666666667,17
check-in,104,4.333333333333333,16
check-in,105,4.375,17
check-in,106,4.416666666666667,16
check-in,107,4.458333333333333,17
check-in,108,4.5,14
check-in,109,4.541666666666667,15
check-in,110,4.583333333333333,15
check-in,111,4.625,16
check-in,112,4.666666666666667,16
check-in,113,4.708333333333333,16
check-in,114,4.75,17
check-in,115,4.791666666666667,17
check-in,116,4.833333333333333,19
check-in,117,4.875,20
check-in,118,4.916666666666667,18
check-in,119,4.958333333333333,18
check-in,120,5.0,17
check-in,121,5.041666666666667,17
check-in,122,5.083333333333333,18
check-in,123,5.125,18
check-in,124,5.166666666666667,19
check-in,125,5.208333333333333,19
check-in,126,5.25,18
check-in,127,5.291666666666667,20
check-in,128,5.333333333333333,17
check-in,129,5.375,17
check-in,130,5.416666666666667,17
check-in,131,5.458333333333333,18
check-in,132,5.5,17
check-in,133,5.541666666666667,19
check-in,134,5.583333333333333,17
check-in,135,5.625,17
check-in,136,5.666666666666667,17
check-in,137,5.708333333333333,17
check-in,138,5.75,17
check-in,139,5.791666666666667,16
check-in,140,5.833333333333333,17
