timestamp_lectura_csv,zona_aeropuerto,personas_medicion_anterior,personas_medicion_actual,minutos_entre_mediciones,cabinas_baseline,cabinas_recomendado,weather_condition,tiempo_atmosferico,weather_risk_score,weather_delay_multiplier,recommended_extra_boarding_buffer_minutes,boarding_adjusted_pressure_recomendado,boarding_weather_risk_level_recomendado,espera_pasajero_nuevo_baseline_min,espera_pasajero_nuevo_recomendado_min,mejora_espera_pasajero_nuevo_min,mejora_espera_pasajero_nuevo_porcentaje,tiempo_total_pasajero_nuevo_baseline_min,tiempo_total_pasajero_nuevo_recomendado_min,mejora_tiempo_total_min,mejora_tiempo_total_porcentaje,utilizacion_baseline_porcentaje,utilizacion_recomendado_porcentaje,personas_predichas_10min_baseline,personas_predichas_10min_recomendado,mejora_personas_predichas_10min,accion_baseline,accion_recomendada,mensaje_recomendacion
2026-05-16 11:24:18,checkin,7,7,1.0,4,4,normal,Normal,0.18,1.03,1,0.0,Unknown,2.62,2.62,0.0,0.0,6.12,6.12,0.0,0.0,100.0,100.0,7.0,7.0,0.0,CRITICO,CRITICO,Sistema inestable: llegan 1.14 pax/min y la capacidad actual es 1.14 pax/min. Abrir hasta 5 cabina(s).
2026-05-16 11:24:18,bagdrop,3,2,1.0,2,2,normal,Normal,0.18,1.03,1,0.0,Unknown,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CERRAR,CERRAR,Cerrar 1 cabina(s) (2 -> 1). Espera baja: 0.0 min.
2026-05-16 11:24:18,seguridad,10,11,1.0,2,2,normal,Normal,0.18,1.03,1,0.0,Unknown,5.4,5.4,0.0,0.0,6.6,6.6,0.0,0.0,100.0,100.0,21.0,21.0,0.0,CRITICO,CRITICO,Sistema inestable: llegan 2.67 pax/min y la capacidad actual es 1.67 pax/min. Abrir hasta 4 cabina(s).
2026-05-16 11:24:18,pasaportes,3,3,1.0,2,2,normal,Normal,0.18,1.03,1,0.0,Unknown,1.0,1.0,0.0,0.0,3.0,3.0,0.0,0.0,100.0,100.0,3.0,3.0,0.0,CRITICO,CRITICO,Sistema inestable: llegan 1.00 pax/min y la capacidad actual es 1.00 pax/min. Abrir hasta 3 cabina(s).
2026-05-16 11:24:18,embarque,3,1,1.0,2,2,normal,Normal,0.18,1.03,1,0.01,Low,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,50.0,50.0,0.0,0.0,0.0,OK,OK,Operación correcta con 2 cabina(s). Espera de pasajero nuevo ahora: 0.0 min.
2026-05-16 11:25:18,checkin,7,7,1.0,4,5,normal,Normal,0.18,1.03,1,0.0,Unknown,2.62,1.4,1.22,46.67,6.12,4.9,1.22,20.0,100.0,100.0,7.0,7.0,0.0,CRITICO,CRITICO,Sistema inestable: llegan 1.43 pax/min y la capacidad actual es 1.43 pax/min. Abrir hasta 6 cabina(s).
2026-05-16 11:25:18,bagdrop,2,2,1.0,2,1,normal,Normal,0.18,1.03,1,0.0,Unknown,0.0,2.0,-2.0,0.0,2.0,4.0,-2.0,-100.0,100.0,100.0,2.0,2.0,0.0,CRITICO,CRITICO,Sistema inestable: llegan 0.50 pax/min y la capacidad actual es 0.50 pax/min. Abrir hasta 2 cabina(s).
2026-05-16 11:25:18,seguridad,11,11,1.0,2,4,normal,Normal,0.18,1.03,1,0.0,Unknown,5.4,2.1,3.3,61.11,6.6,3.3,3.3,50.0,100.0,100.0,11.0,11.0,0.0,CRITICO,CRITICO,Sistema inestable: llegan 3.33 pax/min y la capacidad actual es 3.33 pax/min. Abrir hasta 5 cabina(s).
2026-05-16 11:25:18,pasaportes,3,2,1.0,2,3,normal,Normal,0.18,1.03,1,0.0,Unknown,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,33.33,0.0,0.0,0.0,CERRAR,CERRAR,Cerrar 1 cabina(s) (3 -> 2). Espera baja: 0.0 min.
2026-05-16 11:25:18,embarque,1,0,1.0,2,2,normal,Normal,0.18,1.03,1,0.0,Low,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,75.0,75.0,0.0,0.0,0.0,OK,OK,Operación correcta con 2 cabina(s). Espera de pasajero nuevo ahora: 0.0 min.
2026-05-16 11:26:18,checkin,7,6,1.0,4,6,normal,Normal,0.18,1.03,1,0.0,Unknown,1.75,0.0,1.75,100.0,5.25,3.5,1.75,33.33,12.5,41.67,0.0,0.0,0.0,OK,CERRAR,Cerrar 3 cabina(s) (6 -> 3). Espera baja: 0.0 min.
2026-05-16 11:26:18,bagdrop,2,2,1.0,2,2,normal,Normal,0.18,1.03,1,0.0,Unknown,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,100.0,100.0,2.0,2.0,0.0,CRITICO,CRITICO,Sistema inestable: llegan 1.00 pax/min y la capacidad actual es 1.00 pax/min. Abrir hasta 3 cabina(s).
2026-05-16 11:26:18,seguridad,11,12,1.0,2,5,normal,Normal,0.18,1.03,1,0.0,Unknown,6.0,1.68,4.32,72.0,7.2,2.88,4.32,60.0,100.0,100.0,22.0,22.0,0.0,CRITICO,CRITICO,Sistema inestable: llegan 5.17 pax/min y la capacidad actual es 4.17 pax/min. Abrir hasta 6 cabina(s).
2026-05-16 11:26:18,pasaportes,2,2,1.0,2,2,normal,Normal,0.18,1.03,1,0.0,Unknown,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,100.0,100.0,2.0,2.0,0.0,CRITICO,CRITICO,Sistema inestable: llegan 1.00 pax/min y la capacidad actual es 1.00 pax/min. Abrir hasta 3 cabina(s).
2026-05-16 11:26:18,embarque,0,0,1.0,2,2,normal,Normal,0.18,1.03,1,0.0,Low,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,100.0,100.0,0.0,0.0,0.0,CRITICO,CRITICO,Sistema inestable: llegan 4.00 pax/min y la capacidad actual es 4.00 pax/min. Abrir hasta 3 cabina(s).
2026-05-16 11:27:18,checkin,6,6,1.0,4,3,normal,Normal,0.18,1.03,1,0.0,Unknown,1.75,3.5,-1.75,-100.0,5.25,7.0,-1.75,-33.33,100.0,100.0,6.0,6.0,0.0,CRITICO,CRITICO,Sistema inestable: llegan 0.86 pax/min y la capacidad actual es 0.86 pax/min. Abrir hasta 4 cabina(s).
2026-05-16 11:27:18,bagdrop,2,2,1.0,2,3,normal,Normal,0.18,1.03,1,0.0,Unknown,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,100.0,100.0,2.0,2.0,0.0,CRITICO,CRITICO,Sistema inestable: llegan 1.50 pax/min y la capacidad actual es 1.50 pax/min. Abrir hasta 4 cabina(s).
2026-05-16 11:27:18,seguridad,12,14,1.0,2,6,normal,Normal,0.18,1.03,1,0.0,Unknown,7.2,1.6,5.6,77.78,8.4,2.8,5.6,66.67,100.0,100.0,34.0,34.0,0.0,CRITICO,CRITICO,Sistema inestable: llegan 7.00 pax/min y la capacidad actual es 5.00 pax/min. Abrir hasta 6 cabina(s).
2026-05-16 11:27:18,pasaportes,2,1,1.0,2,3,normal,Normal,0.18,1.03,1,0.0,Unknown,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,33.33,0.0,0.0,0.0,CERRAR,CERRAR,Cerrar 1 cabina(s) (3 -> 2). Espera baja: 0.0 min.
2026-05-16 11:27:18,embarque,0,0,1.0,2,3,normal,Normal,0.18,1.03,1,0.0,Low,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,100.0,100.0,0.0,0.0,0.0,CRITICO,CRITICO,Sistema inestable: llegan 6.00 pax/min y la capacidad actual es 6.00 pax/min. Abrir hasta 4 cabina(s).
2026-05-16 11:28:18,checkin,6,5,1.0,4,4,wind,Viento,0.58,1.39,13,0.0,Unknown,0.88,0.88,0.0,0.0,4.38,4.38,0.0,0.0,12.5,12.5,0.0,0.0,0.0,CERRAR,CERRAR,Cerrar 1 cabina(s) (4 -> 3). Espera baja: 0.9 min.
2026-05-16 11:28:18,bagdrop,2,2,1.0,2,4,wind,Viento,0.58,1.39,13,0.0,Unknown,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,100.0,100.0,2.0,2.0,0.0,CRITICO,CRITICO,Sistema inestable: llegan 2.00 pax/min y la capacidad actual es 2.00 pax/min. Abrir hasta 5 cabina(s).
2026-05-16 11:28:18,seguridad,14,15,1.0,2,6,wind,Viento,0.58,1.39,13,0.0,Unknown,7.8,1.8,6.0,76.92,9.0,3.0,6.0,66.67,100.0,100.0,25.0,25.0,0.0,CRITICO,CRITICO,Sistema inestable: llegan 6.00 pax/min y la capacidad actual es 5.00 pax/min. Abrir hasta 6 cabina(s).
2026-05-16 11:28:18,pasaportes,1,0,1.0,2,2,wind,Viento,0.58,1.39,13,0.0,Unknown,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CERRAR,CERRAR,Cerrar 1 cabina(s) (2 -> 1). Espera baja: 0.0 min.
2026-05-16 11:28:18,embarque,0,0,1.0,2,4,wind,Viento,0.58,1.39,13,0.0,Low,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,100.0,100.0,0.0,0.0,0.0,CRITICO,CRITICO,Sistema inestable: llegan 8.00 pax/min y la capacidad actual es 8.00 pax/min. Abrir hasta 4 cabina(s).
2026-05-16 11:29:18,checkin,5,5,1.0,4,3,wind,Viento,0.58,1.39,13,0.0,Unknown,0.88,2.33,-1.46,-166.67,4.38,5.83,-1.46,-33.33,100.0,100.0,5.0,5.0,0.0,CRITICO,CRITICO,Sistema inestable: llegan 0.86 pax/min y la capacidad actual es 0.86 pax/min. Abrir hasta 4 cabina(s).
2026-05-16 11:29:18,bagdrop,2,2,1.0,2,5,wind,Viento,0.58,1.39,13,0.0,Unknown,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,100.0,100.0,2.0,2.0,0.0,CRITICO,CRITICO,Sistema inestable: llegan 2.50 pax/min y la capacidad actual es 2.50 pax/min. Abrir hasta 6 cabina(s).
2026-05-16 11:29:18,seguridad,15,18,1.0,2,6,wind,Viento,0.58,1.39,13,0.0,Unknown,9.6,2.4,7.2,75.0,10.8,3.6,7.2,66.67,100.0,100.0,48.0,48.0,0.0,CRITICO,CRITICO,Sistema inestable: llegan 8.00 pax/min y la capacidad actual es 5.00 pax/min. Abrir hasta 6 cabina(s).
2026-05-16 11:29:18,pasaportes,0,0,1.0,2,1,wind,Viento,0.58,1.39,13,0.0,Unknown,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,CRITICO,CRITICO,Sistema inestable: llegan 0.50 pax/min y la capacidad actual es 0.50 pax/min. Abrir hasta 2 cabina(s).
2026-05-16 11:29:18,embarque,0,0,1.0,2,4,wind,Viento,0.58,1.39,13,0.0,Low,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,100.0,100.0,0.0,0.0,0.0,CRITICO,CRITICO,Sistema inestable: llegan 8.00 pax/min y la capacidad actual es 8.00 pax/min. Abrir hasta 4 cabina(s).
2026-05-16 11:30:18,checkin,5,5,1.0,4,4,wind,Viento,0.58,1.39,13,0.0,Unknown,0.88,0.88,0.0,0.0,4.38,4.38,0.0,0.0,100.0,100.0,5.0,5.0,0.0,CRITICO,CRITICO,Sistema inestable: llegan 1.14 pax/min y la capacidad actual es 1.14 pax/min. Abrir hasta 5 cabina(s).
2026-05-16 11:30:18,bagdrop,2,1,1.0,2,6,wind,Viento,0.58,1.39,13,0.0,Unknown,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,66.67,0.0,0.0,0.0,CERRAR,CERRAR,Cerrar 1 cabina(s) (6 -> 5). Espera baja: 0.0 min.
2026-05-16 11:30:18,seguridad,18,19,1.0,2,6,wind,Viento,0.58,1.39,13,0.0,Unknown,10.2,2.6,7.6,74.51,11.4,3.8,7.6,66.67,100.0,100.0,29.0,29.0,0.0,CRITICO,CRITICO,Sistema inestable: llegan 6.00 pax/min y la capacidad actual es 5.00 pax/min. Abrir hasta 6 cabina(s).
2026-05-16 11:30:18,pasaportes,0,0,1.0,2,2,wind,Viento,0.58,1.39,13,0.0,Unknown,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,CRITICO,CRITICO,Sistema inestable: llegan 1.00 pax/min y la capacidad actual es 1.00 pax/min. Abrir hasta 3 cabina(s).
2026-05-16 11:30:18,embarque,0,0,1.0,2,4,wind,Viento,0.58,1.39,13,0.0,Low,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,100.0,100.0,0.0,0.0,0.0,CRITICO,CRITICO,Sistema inestable: llegan 8.00 pax/min y la capacidad actual es 8.00 pax/min. Abrir hasta 4 cabina(s).
2026-05-16 11:31:18,checkin,5,5,1.0,4,5,wind,Viento,0.58,1.39,13,0.0,Unknown,0.88,0.0,0.88,100.0,4.38,3.5,0.88,20.0,100.0,100.0,5.0,5.0,0.0,CRITICO,CRITICO,Sistema inestable: llegan 1.43 pax/min y la capacidad actual es 1.43 pax/min. Abrir hasta 6 cabina(s).
2026-05-16 11:31:18,bagdrop,1,1,1.0,2,5,wind,Viento,0.58,1.39,13,0.0,Unknown,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,100.0,100.0,1.0,1.0,0.0,CRITICO,CRITICO,Sistema inestable: llegan 2.50 pax/min y la capacidad actual es 2.50 pax/min. Abrir hasta 6 cabina(s).
