timestamp_procesado,timestamp_lectura_csv,ruta_pasajero,tiempo_total_estimado_desde_entrada_min
2026-05-16 11:22:23,2026-05-16 11:24:18,checkin_seguridad_pasaportes_embarque,16.23
2026-05-16 11:22:23,2026-05-16 11:24:18,checkin_seguridad_embarque,13.22
2026-05-16 11:22:23,2026-05-16 11:24:18,bagdrop_seguridad_pasaportes_embarque,12.1
2026-05-16 11:22:23,2026-05-16 11:24:18,bagdrop_seguridad_embarque,9.1
2026-05-16 11:22:23,2026-05-16 11:24:18,directo_seguridad_pasaportes_embarque,10.1
2026-05-16 11:22:23,2026-05-16 11:24:18,directo_seguridad_embarque,7.1
2026-05-16 11:22:26,2026-05-16 11:25:18,checkin_seguridad_pasaportes_embarque,10.7
2026-05-16 11:22:26,2026-05-16 11:25:18,checkin_seguridad_embarque,8.7
2026-05-16 11:22:26,2026-05-16 11:25:18,bagdrop_seguridad_pasaportes_embarque,9.8
2026-05-16 11:22:26,2026-05-16 11:25:18,bagdrop_seguridad_embarque,7.8
2026-05-16 11:22:26,2026-05-16 11:25:18,directo_seguridad_pasaportes_embarque,5.8
2026-05-16 11:22:26,2026-05-16 11:25:18,directo_seguridad_embarque,3.8
2026-05-16 11:22:29,2026-05-16 11:26:18,checkin_seguridad_pasaportes_embarque,8.88
2026-05-16 11:22:29,2026-05-16 11:26:18,checkin_seguridad_embarque,6.88
2026-05-16 11:22:29,2026-05-16 11:26:18,bagdrop_seguridad_pasaportes_embarque,7.38
2026-05-16 11:22:29,2026-05-16 11:26:18,bagdrop_seguridad_embarque,5.38
2026-05-16 11:22:29,2026-05-16 11:26:18,directo_seguridad_pasaportes_embarque,5.38
2026-05-16 11:22:29,2026-05-16 11:26:18,directo_seguridad_embarque,3.38
2026-05-16 11:22:33,2026-05-16 11:27:18,checkin_seguridad_pasaportes_embarque,12.3
2026-05-16 11:22:33,2026-05-16 11:27:18,checkin_seguridad_embarque,10.3
2026-05-16 11:22:33,2026-05-16 11:27:18,bagdrop_seguridad_pasaportes_embarque,7.3
2026-05-16 11:22:33,2026-05-16 11:27:18,bagdrop_seguridad_embarque,5.3
2026-05-16 11:22:33,2026-05-16 11:27:18,directo_seguridad_pasaportes_embarque,5.3
2026-05-16 11:22:33,2026-05-16 11:27:18,directo_seguridad_embarque,3.3
