timestamp_procesado,timestamp_lectura_csv,zona_aeropuerto,personas_medicion_anterior,personas_medicion_actual,minutos_entre_mediciones,personas_atendidas_estimadas_intervalo,personas_llegadas_estimadas_intervalo,tasa_llegada_estimada_personas_min,tiempo_servicio_medio_min_por_persona,tasa_servicio_personas_min_por_cabina,capacidad_total_actual_personas_min,cabinas_activas_actuales,utilizacion_puesto_porcentaje,cola_media_modelo_personas,espera_media_cola_modelo_min,tiempo_total_medio_modelo_min,sistema_estable,espera_estimada_pasajero_nuevo_ahora_min,tiempo_total_estimado_pasajero_nuevo_ahora_min,weather_condition,tiempo_atmosferico,weather_risk_score,weather_delay_multiplier,recommended_extra_boarding_buffer_minutes,boarding_base_pressure,boarding_adjusted_pressure,boarding_weather_risk_level,personas_predichas_en_5_min,espera_pasajero_nuevo_predicha_en_5_min,tiempo_total_pasajero_nuevo_predicho_en_5_min,personas_predichas_en_10_min,espera_pasajero_nuevo_predicha_en_10_min,tiempo_total_pasajero_nuevo_predicho_en_10_min,personas_predichas_en_15_min,espera_pasajero_nuevo_predicha_en_15_min,tiempo_total_pasajero_nuevo_predicho_en_15_min,cabinas_recomendadas,accion_recomendada,mensaje_recomendacion
2026-05-16 11:22:23,2026-05-16 11:24:18,checkin,7,7,1.0,1.14,1.14,1.14,3.5,0.29,1.14,4,100.0,inf,inf,inf,False,2.62,6.12,normal,Normal,0.18,1.03,1,0.0,0.0,Unknown,7.0,2.62,6.12,7.0,2.62,6.12,7.0,2.62,6.12,5,CRITICO,Sistema inestable: llegan 1.14 pax/min y la capacidad actual es 1.14 pax/min. Abrir hasta 5 cabina(s).
2026-05-16 11:22:23,2026-05-16 11:24:18,bagdrop,3,2,1.0,1.0,0.0,0.0,2.0,0.5,1.0,2,0.0,0.0,0.0,2.0,True,0.0,2.0,normal,Normal,0.18,1.03,1,0.0,0.0,Unknown,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,1,CERRAR,Cerrar 1 cabina(s) (2 -> 1). Espera baja: 0.0 min.
2026-05-16 11:22:23,2026-05-16 11:24:18,seguridad,10,11,1.0,1.67,2.67,2.67,1.2,0.83,1.67,2,100.0,inf,inf,inf,False,5.4,6.6,normal,Normal,0.18,1.03,1,0.0,0.0,Unknown,16.0,8.4,9.6,21.0,11.4,12.6,26.0,14.4,15.6,4,CRITICO,Sistema inestable: llegan 2.67 pax/min y la capacidad actual es 1.67 pax/min. Abrir hasta 4 cabina(s).
2026-05-16 11:22:23,2026-05-16 11:24:18,pasaportes,3,3,1.0,1.0,1.0,1.0,2.0,0.5,1.0,2,100.0,inf,inf,inf,False,1.0,3.0,normal,Normal,0.18,1.03,1,0.0,0.0,Unknown,3.0,1.0,3.0,3.0,1.0,3.0,3.0,1.0,3.0,3,CRITICO,Sistema inestable: llegan 1.00 pax/min y la capacidad actual es 1.00 pax/min. Abrir hasta 3 cabina(s).
2026-05-16 11:22:23,2026-05-16 11:24:18,embarque,3,1,1.0,4.0,2.0,2.0,0.5,2.0,4.0,2,50.0,0.33,0.17,0.67,True,0.0,0.5,normal,Normal,0.18,1.03,1,0.01,0.01,Low,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.5,2,OK,Operación correcta con 2 cabina(s). Espera de pasajero nuevo ahora: 0.0 min.
2026-05-16 11:22:26,2026-05-16 11:25:18,checkin,7,7,1.0,1.43,1.43,1.43,3.5,0.29,1.43,5,100.0,inf,inf,inf,False,1.4,4.9,normal,Normal,0.18,1.03,1,0.0,0.0,Unknown,7.0,1.4,4.9,7.0,1.4,4.9,7.0,1.4,4.9,6,CRITICO,Sistema inestable: llegan 1.43 pax/min y la capacidad actual es 1.43 pax/min. Abrir hasta 6 cabina(s).
2026-05-16 11:22:26,2026-05-16 11:25:18,bagdrop,2,2,1.0,0.5,0.5,0.5,2.0,0.5,0.5,1,100.0,inf,inf,inf,False,2.0,4.0,normal,Normal,0.18,1.03,1,0.0,0.0,Unknown,2.0,2.0,4.0,2.0,2.0,4.0,2.0,2.0,4.0,2,CRITICO,Sistema inestable: llegan 0.50 pax/min y la capacidad actual es 0.50 pax/min. Abrir hasta 2 cabina(s).
2026-05-16 11:22:26,2026-05-16 11:25:18,seguridad,11,11,1.0,3.33,3.33,3.33,1.2,0.83,3.33,4,100.0,inf,inf,inf,False,2.1,3.3,normal,Normal,0.18,1.03,1,0.0,0.0,Unknown,11.0,2.1,3.3,11.0,2.1,3.3,11.0,2.1,3.3,5,CRITICO,Sistema inestable: llegan 3.33 pax/min y la capacidad actual es 3.33 pax/min. Abrir hasta 5 cabina(s).
2026-05-16 11:22:26,2026-05-16 11:25:18,pasaportes,3,2,1.0,1.5,0.5,0.5,2.0,0.5,1.5,3,33.33,0.05,0.09,2.09,True,0.0,2.0,normal,Normal,0.18,1.03,1,0.0,0.0,Unknown,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,2,CERRAR,Cerrar 1 cabina(s) (3 -> 2). Espera baja: 0.0 min.
2026-05-16 11:22:26,2026-05-16 11:25:18,embarque,1,0,1.0,4.0,3.0,3.0,0.5,2.0,4.0,2,75.0,1.93,0.64,1.14,True,0.0,0.5,normal,Normal,0.18,1.03,1,0.0,0.0,Low,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.5,2,OK,Operación correcta con 2 cabina(s). Espera de pasajero nuevo ahora: 0.0 min.
