timestamp,entrada,checkin,bagdrop,directo_seguridad,seguridad,con_pasaportes,sin_pasaportes,pasaportes,embarque,weather_condition,tiempo_atmosferico,weather_risk_score,weather_delay_multiplier,recommended_extra_boarding_buffer_minutes
2026-05-16 11:23:18,5,7,3,2,10,1,1,3,3,normal,Normal,0.18,1.03,1
2026-05-16 11:24:18,7,7,2,1,11,1,1,3,1,normal,Normal,0.18,1.03,1
2026-05-16 11:25:18,9,7,2,0,11,0,2,2,0,normal,Normal,0.18,1.03,1
2026-05-16 11:26:18,11,6,2,1,12,1,1,2,0,normal,Normal,0.18,1.03,1
2026-05-16 11:27:18,15,6,2,2,14,0,2,1,0,normal,Normal,0.18,1.03,1
2026-05-16 11:28:18,17,5,2,0,15,0,2,0,0,wind,Viento,0.58,1.39,13
2026-05-16 11:29:18,22,5,2,3,18,0,2,0,0,wind,Viento,0.58,1.39,13
2026-05-16 11:30:18,24,5,1,1,19,0,2,0,0,wind,Viento,0.58,1.39,13
2026-05-16 11:31:18,27,5,1,1,20,0,2,0,0,wind,Viento,0.58,1.39,13
2026-05-16 11:32:18,31,5,1,1,23,0,1,0,0,wind,Viento,0.58,1.39,13
2026-05-16 11:33:18,36,6,1,2,25,0,2,0,0,wind,Viento,0.58,1.39,13
2026-05-16 11:34:18,40,6,2,1,26,0,2,0,0,wind,Viento,0.58,1.39,13
2026-05-16 11:35:18,46,7,3,2,29,1,0,0,0,wind,Viento,0.58,1.39,13
2026-05-16 11:36:18,54,7,4,4,34,0,2,0,0,wind,Viento,0.58,1.39,13
2026-05-16 11:37:18,59,7,4,3,37,0,2,0,0,wind,Viento,0.58,1.39,13
2026-05-16 11:38:18,69,10,5,4,41,0,2,0,0,wind,Viento,0.41,1.42,19
2026-05-16 11:39:18,76,11,7,2,43,0,2,0,0,wind,Viento,0.41,1.42,19
2026-05-16 11:40:18,83,12,8,3,46,0,2,0,0,wind,Viento,0.41,1.42,19
2026-05-16 11:41:18,89,14,8,2,48,0,2,0,0,wind,Viento,0.41,1.42,19
2026-05-16 11:42:18,98,16,9,3,52,0,2,0,0,wind,Viento,0.41,1.42,19
2026-05-16 11:43:18,104,17,9,3,55,1,1,0,0,normal,Normal,0.03,1.1,0
2026-05-16 11:44:18,111,18,9,4,60,0,1,0,0,normal,Normal,0.03,1.1,0
2026-05-16 11:45:18,117,20,9,2,62,0,2,0,0,normal,Normal,0.03,1.1,0
2026-05-16 11:46:18,122,20,9,3,65,0,2,0,0,normal,Normal,0.03,1.1,0
2026-05-16 11:47:18,138,24,12,7,72,0,2,0,0,normal,Normal,0.03,1.1,0
2026-05-16 11:48:18,148,26,13,5,77,1,1,0,0,normal,Normal,0.09,1.06,4
2026-05-16 11:49:18,163,30,15,7,84,0,2,0,0,normal,Normal,0.09,1.06,4
2026-05-16 11:50:18,175,33,18,4,88,1,1,0,0,normal,Normal,0.09,1.06,4
2026-05-16 11:51:18,186,36,19,5,93,1,1,0,0,normal,Normal,0.09,1.06,4
2026-05-16 11:52:18,202,40,23,6,99,0,2,0,0,normal,Normal,0.09,1.06,4
2026-05-16 11:53:18,215,43,25,6,105,1,1,0,0,normal,Normal,0.09,1.06,4
2026-05-16 11:54:18,232,48,29,6,111,0,2,0,0,normal,Normal,0.09,1.06,4
2026-05-16 11:55:18,244,52,31,4,115,0,2,0,0,normal,Normal,0.09,1.06,4
2026-05-16 11:56:18,256,55,34,4,120,1,0,0,0,normal,Normal,0.09,1.06,4
2026-05-16 11:57:18,266,57,35,4,126,1,0,0,0,normal,Normal,0.09,1.06,4
2026-05-16 11:58:18,282,61,39,6,132,1,1,0,0,normal,Normal,0.09,1.06,4
2026-05-16 11:59:18,298,65,42,7,139,0,2,0,0,low_visibility,Baja visibilidad,0.57,1.63,21
2026-05-16 12:00:18,308,67,43,5,144,1,1,0,0,low_visibility,Baja visibilidad,0.57,1.63,21
2026-05-16 12:01:18,329,73,47,9,153,0,2,0,0,low_visibility,Baja visibilidad,0.57,1.63,21
2026-05-16 12:02:18,348,77,52,7,161,0,2,0,0,low_visibility,Baja visibilidad,0.57,1.63,21
2026-05-16 12:03:18,374,85,57,11,173,0,1,0,0,low_visibility,Baja visibilidad,0.57,1.63,21
2026-05-16 12:04:18,401,94,63,10,184,1,0,0,0,low_visibility,Baja visibilidad,0.57,1.63,21
2026-05-16 12:05:18,427,102,68,11,195,1,1,0,0,low_visibility,Baja visibilidad,0.57,1.63,21
2026-05-16 12:06:18,451,109,73,10,205,0,2,0,0,low_visibility,Baja visibilidad,0.57,1.63,21
2026-05-16 12:07:18,475,115,79,9,215,1,1,0,0,low_visibility,Baja visibilidad,0.57,1.63,21
2026-05-16 12:08:18,498,122,83,10,225,0,2,0,0,low_visibility,Baja visibilidad,0.57,1.63,21
2026-05-16 12:09:18,525,131,89,10,235,0,2,0,0,normal,Normal,0.02,1.04,2
2026-05-16 12:10:18,543,136,92,7,243,0,2,0,0,normal,Normal,0.02,1.04,2
2026-05-16 12:11:18,551,137,94,3,246,1,1,0,0,normal,Normal,0.02,1.04,2
